first_name,last_name,address,city,phone1,phone2,email,SKU_number,PriorityStatus,DateOfPurchase,Country
Maryann,Royster,74 S Westgate St,Albany,518-966-7987,518-448-8982,mroyster@royster.com,115,1,06-04-2012,USA
Alisha,Slusarski,3273 State St,Middlesex,732-658-3154,732-635-3453,alisha@slusarski.com,102,1,16-04-2012,USA
Allene,Iturbide,1 Central Ave,Stevens Point,715-662-6764,715-530-9863,allene_iturbide@cox.net,118,1,07-05-2012,USA
Chanel,Caudy,86 Nw 66th St #8673,Shawnee,913-388-2079,913-899-1103,chanel.caudy@caudy.org,105,1,17-04-2012,USA
Ezekiel,Chui,2 Cedar Ave #84,Easton,410-669-1642,410-235-8738,ezekiel@chui.com,112,3,30-05-2012,USA
Willow,Kusko,90991 Thorburn Ave,New York,212-582-4976,212-934-5167,wkusko@yahoo.com,111,2,20-06-2012,USA
Bernardo,Figeroa,386 9th Ave N,Conroe,936-336-3951,936-597-3614,bfigeroa@aol.com,116,3,29-06-2012,USA
Ammie,Corrio,74874 Atlantic Ave,Columbus,614-801-9788,614-648-3265,ammie@corrio.com,118,1,09-07-2012,USA
Francine,Vocelka,366 South Dr,Las Cruces,505-977-3911,505-335-5293,francine_vocelka@vocelka.com,108,2,17-07-2012,USA
Ernie,Stenseth,45 E Liberty St,Ridgefield Park,201-709-6245,201-387-9093,ernie_stenseth@aol.com,102,1,30-07-2012,USA
Albina,Glick,4 Ralph Ct,Dunellen,732-924-7882,732-782-6701,albina@glick.com,112,1,27-08-2012,USA
Alishia,Sergi,2742 Distribution Way,New York,212-860-1579,212-753-2740,asergi@gmail.com,101,1,31-07-2012,USA
Solange,Shinko,426 Wolf St,Metairie,504-979-9175,504-265-8174,solange@shinko.com,118,3,06-08-2012,USA
Jose,Stockham,128 Bransten Rd,New York,212-675-8570,212-569-4233,jose@yahoo.com,113,1,04-09-2012,USA
Rozella,Ostrosky,17 Morena Blvd,Camarillo,805-832-6163,805-609-1531,rozella.ostrosky@ostrosky.com,117,1,18-09-2012,USA
Valentine,Gillian,775 W 17th St,San Antonio,210-812-9597,210-300-6244,valentine_gillian@gmail.com,116,3,30-08-2012,USA
Kati,Rulapaugh,6980 Dorsett Rd,Abilene,785-463-7829,785-219-7724,kati.rulapaugh@hotmail.com,118,3,30-08-2012,USA
Youlanda,Schemmer,2881 Lewis Rd,Prineville,541-548-8197,541-993-2611,youlanda@aol.com,103,1,12-09-2012,USA
Dyan,Oldroyd,7219 Woodfield Rd,Overland Park,913-413-4604,913-645-8918,doldroyd@aol.com,112,3,25-09-2012,USA
Roxane,Campain,1048 Main St,Fairbanks,907-231-4722,907-335-6568,roxane@hotmail.com,103,2,01-10-2012,USA
Lavera,Perin,678 3rd Ave,Miami,305-606-7291,305-995-2078,lperin@perin.org,112,2,10-10-2012,USA
Erick,Ferencz,20 S Babcock St,Fairbanks,907-741-1044,907-227-6777,erick.ferencz@aol.com,101,2,18-10-2012,USA
Fatima,Saylors,2 Lighthouse Ave,Hopkins,952-768-2416,952-479-2375,fsaylors@saylors.org,100,3,25-10-2012,USA
Jina,Briddick,38938 Park Blvd,Boston,617-399-5124,617-997-5771,jina_briddick@briddick.com,103,3,01-11-2012,USA
Kanisha,Waycott,5 Tomahawk Dr,Los Angeles,323-453-2780,323-315-7314,kanisha_waycott@yahoo.com,105,3,06-06-2012,USA
Emerson,Bowley,762 S Main St,Madison,608-336-7444,608-658-7940,emerson.bowley@bowley.org,100,2,13-07-2012,USA
Blair,Malet,209 Decker Dr,Philadelphia,215-907-9111,215-794-4519,bmalet@yahoo.com,110,3,13-12-2012,USA
Brock,Bolognia,4486 W O St #1,New York,212-402-9216,212-617-5063,bbolognia@yahoo.com,103,3,08-03-2012,USA
Lorrie,Nestle,39 S 7th St,Tullahoma,931-875-6644,931-303-6041,lnestle@hotmail.com,111,3,08-03-2012,USA
Sabra,Uyetake,98839 Hawthorne Blvd #6101,Columbia,803-925-5213,803-681-3678,sabra@uyetake.org,118,1,23-04-2012,USA
Marjory,Mastella,71 San Mateo Ave,Wayne,610-814-5533,610-379-7125,mmastella@mastella.com,100,3,23-05-2012,USA
Karl,Klonowski,76 Brooks St #9,Flemington,908-877-6135,908-470-4661,karl_klonowski@yahoo.com,115,2,04-06-2012,USA
Tonette,Wenner,4545 Courthouse Rd,Westbury,516-968-6051,516-333-4861,twenner@aol.com,107,3,04-06-2012,USA
Amber,Monarrez,14288 Foster Ave #4121,Jenkintown,215-934-8655,215-329-6386,amber_monarrez@monarrez.org,102,1,09-08-2012,USA
Shenika,Seewald,4 Otis St,Van Nuys,818-423-4007,818-749-8650,shenika@gmail.com,116,3,20-08-2012,USA
Delmy,Ahle,65895 S 16th St,Providence,401-458-2547,401-559-8961,delmy.ahle@hotmail.com,108,2,10-09-2012,USA
Deeanna,Juhas,14302 Pennsylvania Ave,Huntingdon Valley,215-211-9589,215-417-9563,deeanna_juhas@gmail.com,104,3,19-10-2012,USA
Blondell,Pugh,201 Hawk Ct,Providence,401-960-8259,401-300-8122,bpugh@aol.com,109,2,28-09-2012,USA
Jamal,Vanausdal,53075 Sw 152nd Ter #615,Monroe Township,732-234-1546,732-904-2931,jamal@vanausdal.org,116,2,19-11-2012,USA
Cecily,Hollack,59 N Groesbeck Hwy,Austin,512-486-3817,512-861-3814,cecily@hollack.org,117,2,19-12-2012,USA
Carmelina,Lindall,2664 Lewis Rd,Littleton,303-724-7371,303-874-5160,carmelina_lindall@lindall.com,101,2,25-04-2012,USA
Maurine,Yglesias,59 Shady Ln #53,Milwaukee,414-748-1374,414-573-7719,maurine_yglesias@yglesias.com,108,3,12-01-2012,USA
Tawna,Buvens,3305 Nabell Ave #679,New York,212-674-9610,212-462-9157,tawna@gmail.com,114,3,16-01-2012,USA
Penney,Weight,18 Fountain St,Anchorage,907-797-9628,907-873-2882,penney_weight@aol.com,106,3,24-01-2012,USA
Elly,Morocco,7 W 32nd St,Erie,814-393-5571,814-420-3553,elly_morocco@gmail.com,120,1,24-01-2012,USA
Ilene,Eroman,2853 S Central Expy,Glen Burnie,410-914-9018,410-937-4543,ilene.eroman@hotmail.com,112,1,25-01-2012,USA
Vallie,Mondella,74 W College St,Boise,208-862-5339,208-737-8439,vmondella@mondella.com,100,3,01-02-2012,USA
Kallie,Blackwood,701 S Harrison Rd,San Francisco,415-315-2761,415-604-7609,kallie.blackwood@gmail.com,101,2,15-02-2012,USA
Johnetta,Abdallah,1088 Pinehurst St,Chapel Hill,919-225-9345,919-715-3791,johnetta_abdallah@aol.com,112,3,31-01-2012,USA
Bobbye,Rhym,30 W 80th St #1995,San Carlos,650-528-5783,650-811-9032,brhym@rhym.com,114,2,07-02-2012,USA
Micaela,Rhymes,20932 Hedley St,Concord,925-647-3298,925-522-7798,micaela_rhymes@gmail.com,119,2,13-02-2012,USA
Tamar,Hoogland,2737 Pistorio Rd #9230,London,740-343-8575,740-526-5410,tamar@hotmail.com,107,1,15-02-2012,USA
Moon,Parlato,74989 Brandon St,Wellsville,585-866-8313,585-498-4278,moon@yahoo.com,116,3,21-02-2012,USA
Laurel,Reitler,6 Kains Ave,Baltimore,410-520-4832,410-957-6903,laurel_reitler@reitler.com,114,2,28-02-2012,USA
Delisa,Crupi,47565 W Grand Ave,Newark,973-354-2040,973-847-9611,delisa.crupi@crupi.com,100,2,06-03-2012,USA
Viva,Toelkes,4284 Dorigo Ln,Chicago,773-446-5569,773-352-3437,viva.toelkes@gmail.com,103,2,12-03-2012,USA
Elza,Lipke,6794 Lake Dr E,Newark,973-927-3447,973-796-3667,elza@yahoo.com,108,2,21-03-2012,USA
Devorah,Chickering,31 Douglas Blvd #950,Clovis,505-975-8559,505-950-1763,devorah@hotmail.com,109,2,27-03-2012,USA
Timothy,Mulqueen,44 W 4th St,Staten Island,718-332-6527,718-654-7063,timothy_mulqueen@mulqueen.org,108,1,27-03-2012,USA
Arlette,Honeywell,11279 Loytan St,Jacksonville,904-775-4480,904-514-9918,ahoneywell@honeywell.com,100,3,30-03-2012,USA
Dominque,Dickerson,69 Marquette Ave,Hayward,510-993-3758,510-901-7640,dominque.dickerson@dickerson.org,114,2,30-03-2012,USA
Lettie,Isenhower,70 W Main St,Beachwood,216-657-7668,216-733-8494,lettie_isenhower@yahoo.com,102,1,12-04-2012,USA
Myra,Munns,461 Prospect Pl #316,Euless,817-914-7518,817-451-3518,mmunns@cox.net,107,1,20-04-2012,USA
Stephaine,Barfield,47154 Whipple Ave Nw,Gardena,310-774-7643,310-968-1219,stephaine@barfield.com,104,1,02-04-2012,USA
Lai,Gato,37 Alabama Ave,Evanston,847-728-7286,847-957-4614,lai.gato@gato.org,112,2,09-04-2012,USA
Stephen,Emigh,3777 E Richmond St #900,Akron,330-537-5358,330-700-2312,stephen_emigh@hotmail.com,108,2,23-04-2012,USA
Tyra,Shields,3 Fort Worth Ave,Philadelphia,215-255-1641,215-228-8264,tshields@gmail.com,109,3,27-04-2012,USA
Tammara,Wardrip,4800 Black Horse Pike,Burlingame,650-803-1936,650-216-5075,twardrip@cox.net,110,1,23-05-2012,USA
Cory,Gibes,83649 W Belmont Ave,San Gabriel,626-572-1096,626-696-2777,cory.gibes@gmail.com,120,2,01-05-2012,USA
Danica,Bruschke,840 15th Ave,Waco,254-782-8569,254-205-1422,danica_bruschke@gmail.com,117,3,22-05-2012,USA
Wilda,Giguere,1747 Calle Amanecer #2,Anchorage,907-870-5536,907-914-9482,wilda@cox.net,114,2,29-05-2012,USA
Elvera,Benimadho,99385 Charity St #840,San Jose,408-703-8505,408-440-8447,elvera.benimadho@cox.net,105,1,04-06-2012,USA
Carma,Vanheusen,68556 Central Hwy,San Leandro,510-503-7169,510-452-4835,carma@cox.net,109,2,15-06-2012,USA
Malinda,Hochard,55 Riverside Ave,Indianapolis,317-722-5066,317-472-2412,malinda.hochard@yahoo.com,105,3,20-06-2012,USA
Natalie,Fern,7140 University Ave,Rock Springs,307-704-8713,307-279-3793,natalie.fern@hotmail.com,108,2,04-07-2012,USA
Lisha,Centini,64 5th Ave #1153,Mc Lean,703-235-3937,703-475-7568,lisha@centini.org,116,1,19-06-2012,USA
Arlene,Klusman,3 Secor Rd,New Orleans,504-710-5840,504-946-1807,arlene_klusman@gmail.com,118,1,26-06-2012,USA
Alease,Buemi,4 Webbs Chapel Rd,Boulder,303-301-4946,303-521-9860,alease@buemi.com,117,2,27-06-2012,USA
Louisa,Cronauer,524 Louisiana Ave Nw,San Leandro,510-828-7047,510-472-7758,louisa@cronauer.com,103,1,04-07-2012,USA
Angella,Cetta,185 Blackstone Bldge,Honolulu,808-892-7943,808-475-2310,angella.cetta@hotmail.com,116,3,23-07-2012,USA
Cyndy,Goldammer,170 Wyoming Ave,Burnsville,952-334-9408,952-938-9457,cgoldammer@cox.net,104,1,03-08-2012,USA
Rosio,Cork,4 10th St W,High Point,336-243-5659,336-497-4407,rosio.cork@gmail.com,110,3,22-08-2012,USA
Celeste,Korando,7 W Pinhook Rd,Lynbrook,516-509-2347,516-365-7266,ckorando@hotmail.com,103,3,24-07-2012,USA
Twana,Felger,1 Commerce Way,Portland,503-939-3153,503-909-7167,twana.felger@felger.org,110,1,24-07-2012,USA
Estrella,Samu,64 Lakeview Ave,Beloit,608-976-7199,608-942-8836,estrella@aol.com,115,2,07-08-2012,USA
Donte,Kines,3 Aspen St,Worcester,508-429-8576,508-843-1426,dkines@hotmail.com,108,1,21-08-2012,USA
Tiffiny,Steffensmeier,32860 Sierra Rd,Miami,305-385-9695,305-304-6573,tiffiny_steffensmeier@cox.net,110,2,28-08-2012,USA
Edna,Miceli,555 Main St,Erie,814-460-2655,814-299-2877,emiceli@miceli.org,103,3,03-09-2012,USA
Sue,Kownacki,2 Se 3rd Ave,Mesquite,972-666-3413,972-742-4000,sue@aol.com,110,1,10-09-2012,USA
Jesusa,Shin,2239 Shawnee Mission Pky,Tullahoma,931-273-8709,931-739-1551,jshin@shin.com,108,1,12-09-2012,USA
Rolland,Francescon,2726 Charcot Ave,Paterson,973-649-2922,973-284-4048,rolland@cox.net,115,2,25-09-2012,USA
Pamella,Schmierer,5161 Dorsett Rd,Homestead,305-420-8970,305-575-8481,pamella.schmierer@schmierer.org,111,1,11-10-2012,USA
Glory,Kulzer,55892 Jacksonville Rd,Owings Mills,410-224-9462,410-916-8015,gkulzer@kulzer.org,118,3,25-09-2012,USA
Shawna,Palaspas,5 N Cleveland Massillon Rd,Thousand Oaks,805-275-3566,805-638-6617,shawna_palaspas@palaspas.org,112,3,09-10-2012,USA
Brandon,Callaro,7 Benton Dr,Honolulu,808-215-6832,808-240-5168,brandon_callaro@hotmail.com,117,3,12-10-2012,USA
Scarlet,Cartan,9390 S Howell Ave,Albany,229-735-3378,229-365-9658,scarlet.cartan@yahoo.com,109,1,16-10-2012,USA
Oretha,Menter,8 County Center Dr #647,Boston,617-418-5043,617-697-6024,oretha_menter@yahoo.com,105,1,06-11-2012,USA
Ty,Smith,4646 Kaahumanu St,Hackensack,201-672-1553,201-995-3149,tsmith@aol.com,112,1,14-11-2012,USA
Xuan,Rochin,2 Monroe St,San Mateo,650-933-5072,650-247-2625,xuan@gmail.com,107,2,22-11-2012,USA
Lindsey,Dilello,52777 Leaders Heights Rd,Ontario,909-639-9887,909-589-1693,lindsey.dilello@hotmail.com,105,1,12-12-2012,USA
Devora,Perez,72868 Blackington Ave,Oakland,510-955-3016,510-755-9274,devora_perez@perez.org,105,3,27-12-2012,USA
Herman,Demesa,9 Norristown Rd,Troy,518-497-2940,518-931-7852,hdemesa@cox.net,118,1,03-12-2012,USA
Rory,Papasergi,83 County Road 437 #8581,Clarks Summit,570-867-7489,570-469-8401,rpapasergi@cox.net,102,1,18-12-2012,USA
Talia,Riopelle,1 N Harlem Ave #9,Orange,973-245-2133,973-818-9788,talia_riopelle@aol.com,116,1,07-02-2012,USA
Van,Shire,90131 J St,Pittstown,908-409-2890,908-448-1209,van.shire@shire.com,102,1,01-03-2012,USA
Lucina,Lary,8597 W National Ave,Cocoa,321-749-4981,321-632-4668,lucina_lary@cox.net,114,1,22-03-2012,USA
Bok,Isaacs,6 Gilson St,Bronx,718-809-3762,718-478-8568,bok.isaacs@aol.com,114,3,22-03-2012,USA
Rolande,Spickerman,65 W Maple Ave,Pearl City,808-315-3077,808-526-5863,rolande.spickerman@spickerman.com,105,3,18-04-2012,USA
Howard,Paulas,866 34th Ave,Denver,303-623-4241,303-692-3118,hpaulas@gmail.com,116,1,23-04-2012,USA
Kimbery,Madarang,798 Lund Farm Way,Rockaway,973-310-1634,973-225-6259,kimbery_madarang@cox.net,114,3,02-05-2012,USA
Thurman,Manno,9387 Charcot Ave,Absecon,609-524-3586,609-234-8376,thurman.manno@yahoo.com,116,3,22-05-2012,USA
Becky,Mirafuentes,30553 Washington Rd,Plainfield,908-877-8409,908-426-8272,becky.mirafuentes@mirafuentes.com,117,2,23-05-2012,USA
Beatriz,Corrington,481 W Lemon St,Middleboro,508-584-4279,508-315-3867,beatriz@yahoo.com,113,1,30-05-2012,USA
Marti,Maybury,4 Warehouse Point Rd #7,Chicago,773-775-4522,773-539-1058,marti.maybury@yahoo.com,113,2,11-06-2012,USA
Nieves,Gotter,4940 Pulaski Park Dr,Portland,503-527-5274,503-455-3094,nieves_gotter@gmail.com,111,1,27-06-2012,USA
Leatha,Hagele,627 Walford Ave,Dallas,214-339-1809,214-225-5850,lhagele@cox.net,115,1,23-07-2012,USA
Valentin,Klimek,137 Pioneer Way,Chicago,312-303-5453,312-512-2338,vklimek@klimek.org,113,3,23-07-2012,USA
Melissa,Wiklund,61 13 Stoneridge #835,Findlay,419-939-3613,419-254-4591,melissa@cox.net,104,2,23-07-2012,USA
Sheridan,Zane,2409 Alabama Rd,Riverside,951-645-3605,951-248-6822,sheridan.zane@zane.com,105,2,26-07-2012,USA
Bulah,Padilla,8927 Vandever Ave,Waco,254-463-4368,254-816-8417,bulah_padilla@hotmail.com,118,2,31-07-2012,USA
Audra,Kohnert,134 Lewis Rd,Nashville,615-406-7854,615-448-9249,audra@kohnert.com,104,1,06-08-2012,USA
Daren,Weirather,9 N College Ave #3,Milwaukee,414-959-2540,414-838-3151,dweirather@aol.com,112,3,21-08-2012,USA
Fernanda,Jillson,60480 Old Us Highway 51,Preston,410-387-5260,410-724-6472,fjillson@aol.com,100,2,18-09-2012,USA
Gearldine,Gellinger,4 Bloomfield Ave,Irving,972-934-6914,972-821-7118,gearldine_gellinger@gellinger.com,102,2,06-09-2012,USA
Chau,Kitzman,429 Tiger Ln,Beverly Hills,310-560-8022,310-969-7230,chau@gmail.com,105,3,24-09-2012,USA
Theola,Frey,54169 N Main St,Massapequa,516-948-5768,516-357-3362,theola_frey@frey.com,119,1,12-10-2012,USA
Cheryl,Haroldson,92 Main St,Atlantic City,609-518-7697,609-263-9243,cheryl@haroldson.org,116,1,15-10-2012,USA
Laticia,Merced,72 Mannix Dr,Cincinnati,513-508-7371,513-418-1566,lmerced@gmail.com,107,1,23-10-2012,USA
Carissa,Batman,12270 Caton Center Dr,Eugene,541-326-4074,541-801-5717,carissa.batman@yahoo.com,120,2,20-11-2012,USA
Lezlie,Craghead,749 W 18th St #45,Smithfield,919-533-3762,919-885-2453,lezlie.craghead@craghead.org,107,1,15-11-2012,USA
Ozell,Shealy,8 Industry Ln,New York,212-332-8435,212-880-8865,oshealy@hotmail.com,111,1,29-11-2012,USA
Arminda,Parvis,1 Huntwood Ave,Phoenix,602-906-9419,602-277-3025,arminda@parvis.com,120,3,19-12-2012,USA
Reita,Leto,55262 N French Rd,Indianapolis,317-234-1135,317-787-5514,reita.leto@gmail.com,117,3,19-12-2012,USA
Yolando,Luczki,422 E 21st St,Syracuse,315-304-4759,315-640-6357,yolando@cox.net,105,1,06-01-2012,USA
Lizette,Stem,501 N 19th Ave,Cherry Hill,856-487-5412,856-702-3676,lizette.stem@aol.com,120,2,11-01-2012,USA
Gregoria,Pawlowicz,455 N Main Ave,Garden City,516-212-1915,516-376-4230,gpawlowicz@yahoo.com,110,3,19-01-2012,USA
Carin,Deleo,1844 Southern Blvd,Little Rock,501-308-1040,501-409-6072,cdeleo@deleo.com,100,1,24-01-2012,USA
Chantell,Maynerich,2023 Greg St,Saint Paul,651-591-2583,651-776-9688,chantell@yahoo.com,111,1,27-01-2012,USA
Dierdre,Yum,63381 Jenks Ave,Philadelphia,215-325-3042,215-346-4666,dyum@yahoo.com,118,3,31-01-2012,USA
Larae,Gudroe,6651 Municipal Rd,Houma,985-890-7262,985-261-5783,larae_gudroe@gmail.com,105,3,03-02-2012,USA
Latrice,Tolfree,81 Norris Ave #525,Ronkonkoma,631-957-7624,631-998-2102,latrice.tolfree@hotmail.com,118,1,07-02-2012,USA
Kerry,Theodorov,6916 W Main St,Sacramento,916-591-3277,916-770-7448,kerry.theodorov@gmail.com,119,2,17-02-2012,USA
Dorthy,Hidvegi,9635 S Main St,Boise,208-649-2373,208-690-3315,dhidvegi@yahoo.com,108,1,02-03-2012,USA
Fannie,Lungren,17 Us Highway 111,Round Rock,512-587-5746,512-528-9933,fannie.lungren@yahoo.com,111,2,05-03-2012,USA
Evangelina,Radde,992 Civic Center Dr,Philadelphia,215-964-3284,215-417-5612,evangelina@aol.com,112,3,13-03-2012,USA
Novella,Degroot,303 N Radcliffe St,Hilo,808-477-4775,808-746-1865,novella_degroot@degroot.org,116,1,22-03-2012,USA
Clay,Hoa,73 Saint Ann St #86,Reno,775-501-8109,775-848-9135,choa@hoa.org,101,1,21-03-2012,USA
Jennifer,Fallick,44 58th St,Wheeling,847-979-9545,847-800-3054,jfallick@yahoo.com,120,2,22-03-2012,USA
Irma,Wolfgramm,9745 W Main St,Randolph,973-545-7355,973-868-8660,irma.wolfgramm@hotmail.com,113,3,30-03-2012,USA
Eun,Coody,84 Bloomfield Ave,Spartanburg,864-256-3620,864-594-4578,eun@yahoo.com,116,3,03-04-2012,USA
Sylvia,Cousey,287 Youngstown Warren Rd,Hampstead,410-209-9545,410-863-8263,sylvia_cousey@cousey.org,117,2,04-04-2012,USA
Nana,Wrinkles,6 Van Buren St,Mount Vernon,914-855-2115,914-796-3775,nana@aol.com,103,3,04-04-2012,USA
Layla,Springe,229 N Forty Driv,New York,212-260-3151,212-253-7448,layla.springe@cox.net,117,1,11-04-2012,USA
Joesph,Degonia,2887 Knowlton St #5435,Berkeley,510-677-9785,510-942-5916,joesph_degonia@degonia.org,100,2,16-04-2012,USA
Annabelle,Boord,523 Marquette Ave,Concord,978-697-6263,978-289-7717,annabelle.boord@cox.net,101,3,20-04-2012,USA
Stephaine,Vinning,3717 Hamann Industrial Pky,San Francisco,415-767-6596,415-712-9530,stephaine@cox.net,114,1,16-04-2012,USA
Nelida,Sawchuk,3 State Route 35 S,Paramus,201-971-1638,201-247-8925,nelida@gmail.com,112,3,17-04-2012,USA
Marguerita,Hiatt,82 N Highway 67,Oakley,925-634-7158,925-541-8521,marguerita.hiatt@gmail.com,110,3,08-05-2012,USA
Carmela,Cookey,9 Murfreesboro Rd,Chicago,773-494-4195,773-297-9391,ccookey@cookey.org,108,1,07-05-2012,USA
Junita,Brideau,6 S Broadway St,Cedar Grove,973-943-3423,973-582-5469,jbrideau@aol.com,120,2,10-05-2012,USA
Claribel,Varriano,6 Harry L Dr #6327,Perrysburg,419-544-4900,419-573-2033,claribel_varriano@cox.net,112,3,15-05-2012,USA
Benton,Skursky,47939 Porter Ave,Gardena,310-579-2907,310-694-8466,benton.skursky@aol.com,112,1,21-05-2012,USA
Hillary,Skulski,9 Wales Rd Ne #914,Homosassa,352-242-2570,352-990-5946,hillary.skulski@aol.com,120,2,21-05-2012,USA
Merilyn,Bayless,195 13n N,Santa Clara,408-758-5015,408-346-2180,merilyn_bayless@cox.net,108,2,24-05-2012,USA
Teri,Ennaco,99 Tank Farm Rd,Hazleton,570-889-5187,570-355-1665,tennaco@gmail.com,108,2,28-05-2012,USA
Merlyn,Lawler,4671 Alemany Blvd,Jersey City,201-588-7810,201-858-9960,merlyn_lawler@hotmail.com,100,1,29-05-2012,USA
Georgene,Montezuma,98 University Dr,San Ramon,925-615-5185,925-943-3449,gmontezuma@cox.net,108,1,01-06-2012,USA
Jettie,Mconnell,50 E Wacker Dr,Bridgewater,908-802-3564,908-602-5258,jmconnell@hotmail.com,113,2,31-05-2012,USA
Lemuel,Latzke,70 Euclid Ave #722,Bohemia,631-748-6479,631-291-4976,lemuel.latzke@gmail.com,101,2,11-06-2012,USA
Melodie,Knipp,326 E Main St #6496,Thousand Oaks,805-690-1682,805-810-8964,mknipp@gmail.com,103,3,14-06-2012,USA
Candida,Corbley,406 Main St,Somerville,908-275-8357,908-943-6103,candida_corbley@hotmail.com,105,2,18-06-2012,USA
Karan,Karpin,3 Elmwood Dr,Beaverton,503-940-8327,503-707-5812,karan_karpin@gmail.com,101,2,19-06-2012,USA
Andra,Scheyer,9 Church St,Salem,503-516-2189,503-950-3068,andra@gmail.com,101,3,26-06-2012,USA
Felicidad,Poullion,9939 N 14th St,Riverton,856-305-9731,856-828-6021,fpoullion@poullion.com,120,2,28-06-2012,USA
Belen,Strassner,5384 Southwyck Blvd,Douglasville,770-507-8791,770-802-4003,belen_strassner@aol.com,110,2,09-07-2012,USA
Gracia,Melnyk,97 Airport Loop Dr,Jacksonville,904-235-3633,904-627-4341,gracia@melnyk.com,118,1,12-07-2012,USA
Jolanda,Hanafan,37855 Nolan Rd,Bangor,207-458-9196,207-233-6185,jhanafan@gmail.com,118,1,17-07-2012,USA
Barrett,Toyama,4252 N Washington Ave #9,Kennedale,817-765-5781,817-577-6151,barrett.toyama@toyama.org,120,2,19-07-2012,USA
Helga,Fredicks,42754 S Ash Ave,Buffalo,716-752-4114,716-854-9845,helga_fredicks@yahoo.com,111,2,25-07-2012,USA
Ashlyn,Pinilla,703 Beville Rd,Opa Locka,305-670-9628,305-857-5489,apinilla@cox.net,119,2,31-07-2012,USA
Fausto,Agramonte,5 Harrison Rd,New York,212-313-1783,212-778-3063,fausto_agramonte@yahoo.com,117,2,06-08-2012,USA
Ronny,Caiafa,73 Southern Blvd,Philadelphia,215-605-7570,215-511-3531,ronny.caiafa@caiafa.org,100,3,21-08-2012,USA
Marge,Limmel,189 Village Park Rd,Crestview,850-430-1663,850-330-8079,marge@gmail.com,118,3,06-08-2012,USA
Norah,Waymire,6 Middlegate Rd #106,San Francisco,415-306-7897,415-874-2984,norah.waymire@gmail.com,116,2,21-08-2012,USA
Aliza,Baltimore,1128 Delaware St,San Jose,408-504-3552,408-425-1994,aliza@aol.com,109,2,03-09-2012,USA
